"Country","Day","Date","Confirmed","Deaths","Recovered"
"Croatia","6","26-01-2020","0","0","0"
"Croatia","7","27-01-2020","0","0","0"
"Croatia","8","28-01-2020","0","0","0"
"Croatia","9","29-01-2020","0","0","0"
"Croatia","10","30-01-2020","0","0","0"
"Croatia","11","31-01-2020","0","0","0"
"Croatia","12","01-02-2020","0","0","0"
"Croatia","13","02-02-2020","0","0","0"
"Croatia","14","03-02-2020","0","0","0"
"Croatia","15","04-02-2020","0","0","0"
"Croatia","16","05-02-2020","0","0","0"
"Croatia","17","06-02-2020","0","0","0"
"Croatia","18","07-02-2020","0","0","0"
"Croatia","19","08-02-2020","0","0","0"
"Croatia","20","09-02-2020","0","0","0"
"Croatia","21","10-02-2020","0","0","0"
"Croatia","22","11-02-2020","0","0","0"
"Croatia","23","12-02-2020","0","0","0"
"Croatia","24","13-02-2020","0","0","0"
"Croatia","25","14-02-2020","0","0","0"
"Croatia","26","15-02-2020","0","0","0"
"Croatia","27","16-02-2020","0","0","0"
"Croatia","28","17-02-2020","0","0","0"
"Croatia","29","18-02-2020","0","0","0"
"Croatia","30","19-02-2020","0","0","0"
"Croatia","31","20-02-2020","0","0","0"
"Croatia","32","21-02-2020","0","0","0"
"Croatia","33","22-02-2020","0","0","0"
"Croatia","34","23-02-2020","0","0","0"
"Croatia","35","24-02-2020","0","0","0"
"Croatia","36","25-02-2020","1","0","0"
"Croatia","37","26-02-2020","3","0","0"
"Croatia","38","27-02-2020","3","0","0"
"Croatia","39","28-02-2020","5","0","0"
"Croatia","40","29-02-2020","6","0","0"
"Croatia","41","01-03-2020","7","0","0"
"Croatia","42","02-03-2020","7","0","0"
"Croatia","43","03-03-2020","9","0","0"
"Czech Republic","1","21-01-2020","0","0","0"
"Czech Republic","2","22-01-2020","0","0","0"
"Czech Republic","3","23-01-2020","0","0","0"
"Czech Republic","4","24-01-2020","0","0","0"
"Czech Republic","5","25-01-2020","0","0","0"
"Czech Republic","6","26-01-2020","0","0","0"
"Czech Republic","7","27-01-2020","0","0","0"
"Czech Republic","8","28-01-2020","0","0","0"
"Czech Republic","9","29-01-2020","0","0","0"
"Czech Republic","10","30-01-2020","0","0","0"
"Czech Republic","11","31-01-2020","0","0","0"
"Czech Republic","12","01-02-2020","0","0","0"
"Czech Republic","13","02-02-2020","0","0","0"
"Czech Republic","14","03-02-2020","0","0","0"
"Czech Republic","15","04-02-2020","0","0","0"
"Czech Republic","16","05-02-2020","0","0","0"
"Czech Republic","17","06-02-2020","0","0","0"
"Czech Republic","18","07-02-2020","0","0","0"
"Czech Republic","19","08-02-2020","0","0","0"
"Czech Republic","20","09-02-2020","0","0","0"
"Czech Republic","21","10-02-2020","0","0","0"
"Czech Republic","22","11-02-2020","0","0","0"
"Czech Republic","23","12-02-2020","0","0","0"
"Czech Republic","24","13-02-2020","0","0","0"
"Czech Republic","25","14-02-2020","0","0","0"
"Czech Republic","26","15-02-2020","0","0","0"
"Czech Republic","27","16-02-2020","0","0","0"
"Czech Republic","28","17-02-2020","0","0","0"
"Czech Republic","29","18-02-2020","0","0","0"
"Czech Republic","30","19-02-2020","0","0","0"
"Czech Republic","31","20-02-2020","0","0","0"
"Czech Republic","32","21-02-2020","0","0","0"
"Czech Republic","33","22-02-2020","0","0","0"
"Czech Republic","34","23-02-2020","0","0","0"
"Czech Republic","35","24-02-2020","0","0","0"
"Czech Republic","36","25-02-2020","0","0","0"
"Czech Republic","37","26-02-2020","0","0","0"
"Czech Republic","38","27-02-2020","0","0","0"
"Czech Republic","39","28-02-2020","0","0","0"
"Czech Republic","40","29-02-2020","0","0","0"
"Czech Republic","41","01-03-2020","3","0","0"
"Czech Republic","42","02-03-2020","3","0","0"
"Czech Republic","43","03-03-2020","5","0","0"
"Denmark","1","21-01-2020","0","0","0"
"Denmark","2","22-01-2020","0","0","0"
"Denmark","3","23-01-2020","0","0","0"
"Denmark","4","24-01-2020","0","0","0"
"Denmark","5","25-01-2020","0","0","0"
"Denmark","6","26-01-2020","0","0","0"
"Denmark","7","27-01-2020","0","0","0"
"Denmark","8","28-01-2020","0","0","0"
"Denmark","9","29-01-2020","0","0","0"
"Denmark","10","30-01-2020","0","0","0"
"Denmark","11","31-01-2020","0","0","0"
"Denmark","12","01-02-2020","0","0","0"
"Denmark","13","02-02-2020","0","0","0"
"Denmark","14","03-02-2020","0","0","0"
"Denmark","15","04-02-2020","0","0","0"
"Denmark","16","05-02-2020","0","0","0"
"Denmark","17","06-02-2020","0","0","0"
